image_filename,agents::agent_name,agents 2::agent_name,works::work_display_attribution,works::work_title,works::work_style,works::work_culture,works::work_date,image_description
A08-077-0071.jpg,,,,Stele of Amenemhat I,Middle Kingdom,Egyptian,c. 1938-1755 BCE,
A08-077-0072.jpg,,,,Model of a house and garden from the tomb of Meketre,Middle Kingdom,Egyptian,c. 2125-2055 BCE,
A08-077-0073.jpg,,,,Town of Kahun ,Middle Kingdom,Egyptian,c. 1880-1874 BCE,Plan of the northern section of Kahun
A08-077-0074.jpg,,,,Temple of Amun at Karnak,New Kingdom ,Egyptian,c. 1500-1280 BCE,
A08-077-0075.jpg,,,,Temple of Amun at Karnak,New Kingdom ,Egyptian,c. 1500-1280 BCE,Reconstruction
A08-077-0076.jpg,,,,Temple of Amun at Karnak,New Kingdom ,Egyptian,c. 1500-1280 BCE,Reconstruction of the Hypostyle Hall
A08-077-0077.jpg,,,,Temple of Amun at Karnak,New Kingdom ,Egyptian,c. 1500-1280 BCE,Hypostyle hall
A08-077-0078.jpg,,,,Hatshepsut Enthroned,New Kingdom,Egyptian,c. 1473-1458 BCE,
A08-077-0080.jpg,,,,Funerary temple of Hatshepsut,New Kingdom,Egyptian,c. 1473-1458 BCE,
A08-077-0081.jpg,,,,Colossal Figure of Akhenaten (Amenhotep IV ),New Kingdom,Egyptian,c. 1353-1336 BCE,
A08-077-0082.jpg,,,,Narmer Palette,Early Dynastic (Dynasty I),Egyptian,c. 2950-2775 BCE,
A08-077-0083.jpg,,,,Narmer Palette,Early Dynastic (Dynasty I),Egyptian,c. 2950-2775 BCE,
A08-077-0084.jpg,,,,Old Kingdom Standard Grid of Proportions,Old Kingdom,Egyptian,,
A08-077-0085.jpg,,,,Akhenaten and His Family,New Kingdom,Egyptian,c. 1353-1336 BCE,
A08-077-0086.jpg,,,,Queen Tiy,New Kingdom,Egyptian,c. 1352 BCE,
A08-077-0087.jpg,,,,Nefertiti,New Kingdom,Egyptian,c. 1353-1336 BCE,
A08-077-0088.jpg,,,,Inner Coffin of Tutankhamun's Sarcophagus,New Kingdom,Egyptian,1332-1322 BCE,
A08-077-0091.jpg,,,,Mummy Wrapping of a Young Boy,Roman Period,Egyptian,c. 100-120,
A08-077-0092.jpg,Imhotep,,(attributed to),Funerary Complex of Djoser,Old Kingdom,Egyptian,c. 2780-2680 BCE,
A08-077-0093.jpg,Imhotep,,(attributed to),Funerary Complex of Djoser,Old Kingdom,Egyptian,c. 2780-2680 BCE,Step Pyramid and sham buildings
A08-077-0094.jpg,,,,Great Pyramids at Giza,Old Kingdom,Egyptian,c. 2575-2450 BCE,
A08-077-0095.jpg,,,,Great Pyramids at Giza,Old Kingdom,Egyptian,c. 2575-2450 BCE,Model of the Giza plateau
A08-077-0098.jpg,,,,Temple of Rameses II at Abu Simbel ,New Kingdom,Egyptian,c. 1279-1213 BCE,Nefertari
A08-077-0099.jpg,,,,Egyptian Symbols,,Egyptian,,
A08-077-0101.jpg,,,,Hieroglyphic and Alphabetic Characters,,Egyptian,,
A08-077-0102.jpg,,,,Development of the Egyptian Pyramid,,Egyptian,,1 - Mastaba
A08-077-0103.jpg,,,,Development of the Egyptian Pyramid,,Egyptian,,3 - Pyramid
A08-077-0105.jpg,,,,Development of the Egyptian Pyramid,,Egyptian,,2 - Stepped Pyramid
A08-077-0107.jpg,,,,Temple of Rameses II at Abu Simbel ,New Kingdom,Egyptian,c. 1279-1213 BCE,Interior
A08-077-0108.jpg,,,,Temple of Rameses II at Abu Simbel ,New Kingdom,Egyptian,c. 1279-1213 BCE,
A08-077-0109.jpg,,,,Unfinished Relief,New Kingdom,Egyptian,c.1550-1292 BCE,
A08-077-0110.jpg,,,,Ancient Egypt,,Egyptian,,
A08-077-0111.jpg,,,,Flotilla Fresco,Minoan (MMIIIA),Aegean,c. 1650 BCE,
A08-077-0112.jpg,,,,Spedos Type Figures,Cycladic (EC II),Aegean,c. 2500-2200 BCE,
A08-077-0113.jpg,,,,Harpist,Cycladic,Aegean,c. 2700-2500 BCE,
A08-077-0115.jpg,,,,Palace of Knossos (Palace of Minos),Minoan (LM I),Aegean,c. 2150-1375 BCE,Aerial view
A08-077-0116.jpg,,,,Palace of Knossos (Palace of Minos),Minoan (LM I),Aegean,c. 2150-1375 BCE,Grand Staircase
A08-077-0117.jpg,,,,Kamares Ware Beak-Spouted Jug,Minoan (MM II),Aegean,c. 2000-1550 BCE,
A08-077-0123.jpg,,,,Harvester Vase,Minoan (LM I),Aegean,c. 1650-1450 BCE,
A08-077-0125.jpg,,,,Octopus Flask (Marine Style Pilgrim Flask),Minoan (LM IB),Aegean,c. 1500-1450 BCE,
A08-077-0126.jpg,,,,The Vapheio Cup,Minoan (LM I),Aegean,c. 1500-1450 BCE,
A08-077-0128.jpg,,,,Citadel of Mycenae,Helladic (LH IIIB),Aegean,c. 1300-1201 BCE,Reconstruction
A08-077-0130.jpg,,,,Palace at Pylos ,Helladic (LH IIIB),Aegean,c. 1300-1201 BCE,Reconstruction of The Megaron
A08-077-0136.jpg,,,,Two Women with A Child,Helladic,Aegean,c. 1400-1200 BCE,
A08-077-0137.jpg,,,,Warrior Vase,Helladic (LH IIIB-C),Aegean,c. 1300-1100 BCE,
A08-077-0139.jpg,,,,Lion Gate at Mycenae,Helladic (LH IIIC),Aegean,c. 1250 BCE,
A08-077-0141.jpg,,,,The Aegean World,,Aegean,,
A08-077-0142.jpg,Myron,,,Diskobolos,Classical,Greek,c. 450 BCE,
A08-077-0144.jpg,,,,Centaur from Lefkandi,Geometric,Greek,c. 1000-900 BCE,
A08-077-0145.jpg,Hirschfeld Painter,,(attributed to),Dipylon Krater,Geometric,Greek,c. 750 BCE,
A08-077-0147.jpg,,,,Protocorinthian Olpe with Snake Between Lions and Fantastic Panther Birds,Orientalizing,Greek,c. 600 BCE,
A08-077-0148.jpg,,,,Temple of Hera II at Poseidonia,Classical,Greek,c. 470-460 BCE,
A08-077-0149.jpg,,,,"Temple of Artemis, Corcyra",Archaic,Greek,580 BCE,Reconstruction of the West Facade
A08-077-0150.jpg,,,,"West Pediment from the Temple of Artemis, Corcyra",Archaic,Greek,c. 580 BCE,Medusa
A08-077-0151.jpg,,,,Treasury of the Siphnians at Delphi,Archaic,Greek,c. 530-525 BCE,Reconstruction
A08-077-0152.jpg,,,,North Frieze from the Treasury of the Siphnians,Archaic,Greek,c. 530 BCE,
A08-077-0153.jpg,,,,Pediment Sculpture from the Temple of Aphaia,Archaic,Greek,c. 500-480 BCE,East pediment
A08-077-0154.jpg,,,,Pediment Sculpture from the Temple of Aphaia,Archaic,Greek,c. 500-480 BCE,Dying Warrior
A08-077-0158.jpg,,,,Peplos Kore,Archaic,Greek,c. 530 BCE,
A08-077-0159.jpg,,,,Kore 675 from Athens,Archaic,Greek,c. 520 BCE,
A08-077-0160.jpg,,,,Standard Shapes of Greek Vessels,,Greek,,
A08-077-0163.jpg,Exekias,,,Amphora with the Suicide of Ajax,"Archaic,  black-figure",Greek,c. 540 BCE,
A08-077-0165.jpg,Polykleitos,,(copy after),Doryphoros (Spear Carrier),Classical,Greek,c. 440 BCE,
A08-077-0166.jpg,,,,West Pediment of the Temple of Zeus at Olympia,Classical,Greek,c. 460 BCE,Reconstruction
A08-077-0167.jpg,,,,West Pediment of the Temple of Zeus at Olympia,Classical,Greek,c. 460 BCE,Apollo with Lapiths and Centaurs
A08-077-0168.jpg,,,,Metopes from the Temple of Zeus at Olympia,Classical,Greek,c. 460 BCE,"Athena, Herakles and Atlas"
A08-077-0169.jpg,Kritios,,(attributed to),Kritios Boy,Classical,Greek,c. 480 BCE,
A08-077-0170.jpg,Kritios,,(attributed to),Kritios Boy,Classical,Greek,c. 480 BCE,
A08-077-0172.jpg,,,,Charioteer from Delphi,Classical,Greek,c. 474 BCE,
A08-077-0173.jpg,,,,Riace Warrior A,Classical,Greek,c. 460 - 450 BCE,
A08-077-0174.jpg,,,,Riace Warrior A,Classical,Greek,c. 460 - 450 BCE,
A08-077-0175.jpg,Pan Painter,,,Krater with the Death of Aktaion,"Classical, red-figure",Greek,c. 470-460 BCE,
A08-077-0176.jpg,,,,Acropolis,Classical,Greek,c. 447-406 BCE,Aerial view
A08-077-0177.jpg,,,,Acropolis,Classical,Greek,c. 447-406 BCE,Model
A08-077-0178.jpg,Phidias,,(attributed to),East Pediment of the Parthenon,Classical,Greek,437-432 BCE,
A08-077-0179.jpg,Phidias,,(attributed to),East Pediment of the Parthenon,Classical,Greek,437-432 BCE,
A08-077-0180.jpg,Phidias,,(attributed to),East Pediment of the Parthenon,Classical,Greek,437-432 BCE,Head of a horse
A08-077-0182.jpg,Phidias,,(attributed to),Parthenon Frieze,Classical,Greek,447-438 BCE,Horsemen
A08-077-0183.jpg,Phidias,,(attributed to),"Marshals and Young Women, from the Parthenon Frieze",Classical,Greek,447-438 BCE,
A08-077-0186.jpg,Kallikrates,,(attributed to),Temple of Athena Nike,Classical,Greek,c. 420-430 BCE,
A08-077-0188.jpg,,,,Athenian Agora,,Greek,c. 500-150 BCE,
A08-077-0189.jpg,Priam Painter,,(attributed to),Hydria with Fountain House Scene,"Archaic,  black-figure",Greek,c. 510 BCE,
A08-077-0190.jpg,,,,Grave Stele of Hegeso,Classical,Greek,c. 400 BCE,
A08-077-0192.jpg,,,,Miletos,,Greek,,Plan with Original Coastline
A08-077-0193.jpg,,,,Tholos at Delphi,Classical,Greek,c. 380-370 BCE,
A08-077-0194.jpg,,,,Tholos at Delphi,Classical,Greek,c. 380-370 BCE,Plan and section
A08-077-0197.jpg,Skopas,,(attributed to),"Frieze from the Mausoleum, Halikarnassos",Classical,Greek,c. 350 BCE,
A08-077-0198.jpg,Lysippos,,(copy after),Apoxyomenos (Man Scraping Himself),Classical,Greek,c. 350-325 BCE,
A08-077-0199.jpg,Lysippos,,(attributed to),Head of Alexander The Great,Hellenistic,Greek,c. 200 BCE,
A08-077-0200.jpg,,,,Coin with Alexander the Great,Hellenistic,Greek,306-281 BCE,
A08-077-0205.jpg,,,,Theater at Epidauros,Hellenistic,Greek,300-250 BCE,
A08-077-0206.jpg,,,,Theater at Epidauros,Hellenistic,Greek,300-250 BCE,Reconstruction
A08-077-0207.jpg,,,,Gallic Chieftain Killing His Wife and Himself,Hellenistic,Greek,c. 220 BCE,
A08-077-0209.jpg,,,,Dying Gaul,Hellenistic,Greek,c. 220 BCE,Roman copy
A08-077-0212.jpg,,,,Nike of Samothrace,Hellenistic,Greek,c. 180 BCE,
A08-077-0213.jpg,,,,Veiled and Masked Dancer,Hellenistic,Greek,c. 300-100 BCE,
A08-077-0217.jpg,Iktinos,Kallikrates,,Parthenon,Classical,Greek,447-438 BCE,View from the northwest
A08-077-0218.jpg,"Revett, Nicholas",,,The Parthenon when it Contained a Mosque,Neoclassical,English,1765,
A08-077-0219.jpg,,,,Vase Painter and Assistants Crowned By Athena and Victories,"Classical, red-figure",Greek,c. 450 BCE,
A08-077-0220.jpg,,,,Ancient Greece,,Greek,,
A08-077-0221.jpg,,,,Capitoline Wolf,Etruscan,Etruscan,c. 500-400 BCE,
A08-077-0223.jpg,,,,Typical Etruscan temple,,Etruscan,c. 600-500 BCE,
A08-077-0225.jpg,,,,Apollo from Veii,,Etruscan,c. 510-500 BCE,
A08-077-0228.jpg,,,,Sarcophagus from Cerveteri,,Etruscan,c. 520 BCE,
A08-077-0229.jpg,,,,Mirror with Calchas,,Etruscan,c. 400-350 BCE,
A08-077-0230.jpg,,,,Capitoline Brutus (Head of a Man),,Etruscan,c. 250 c BCE,
A08-077-0231.jpg,,,,Aulus Metellus (Orator),Republican,Roman,c. 80 BCE,
A08-077-0232.jpg,,,,Pompey the Great,Republican,Roman,c. 50 BCE,
A08-077-0233.jpg,,,,Denarius with Portrait of Julius Caesar,Republican,Roman,44 BCE,
A08-077-0235.jpg,,,,Sanctuary of Fortuna ,Republican,Roman,c. 120 BCE and later,Model
A08-077-0237.jpg,,,,Temple of Portunus (Temple of Fortuna Virilis),Republican,Roman,c. 75 BCE,
A08-077-0238.jpg,,,,Maison Carrée,Republican,Roman,c. 20 BCE,
A08-077-0239.jpg,,,,Forum Romanum,Imperial,Roman,c. 100-1 BCE,
A08-077-0240.jpg,,,,Augustus of Primaporta,Imperial,Roman,c. 14-37,
A08-077-0241.jpg,,,,Augustus of Primaporta,Imperial,Roman,c. 14-37,
A08-077-0243.jpg,,,,Ara Pacis Augustae,Imperial,Roman,13-9 BCE,Imperial Procession
A08-077-0244.jpg,,,,Ara Pacis Augustae,Imperial,Roman,13-9 BCE,Allegory of Peace
A08-077-0245.jpg,,,,Gemma Augustea,Imperial,Roman,c. 15,
A08-077-0247.jpg,,,,Pompeii,Imperial,Roman,79 ,Street
A08-077-0250.jpg,,,,Fountain Mosaic from Pompeii,Imperial,Roman,Mid 1st c,
A08-077-0251.jpg,,,,"Initiation Rites of the Cult of Bacchus, Villa of the Mysteries",Republican,Roman,c. 60-50 BCE,
A08-077-0252.jpg,,,,Garden Landscape from the Villa of Livia,Imperial,Roman,c. 30-20 BCE,
A08-077-0253.jpg,,,,Seascape and Coastal Towns,Imperial,Roman,c. 1-100,
A08-077-0254.jpg,,,,Cubiculum M from the Villa of Publius Fannius Synistor,Imperial,Roman,c. 50 - 40 BCE,
A08-077-0256.jpg,,,,"Fourth Style Wall Painting, House of M. Lucretius Fronto",Imperial,Roman,Mid 1st c,
A08-077-0258.jpg,,,,Young Woman Writing,Imperial,Roman,Before 79,
A08-077-0260.jpg,,,,Arch of Titus,Imperial,Roman,c. 81,Spoils from the Temple of Solomon
A08-077-0261.jpg,,,,Arch of Titus,Imperial,Roman,c. 81,Triumphal Procession with Titus In Chariot
A08-077-0262.jpg,,,,Flavian Amphitheater (Colosseum),Imperial,Roman,70-80,Aerial view
A08-077-0263.jpg,,,,Flavian Amphitheater (Colosseum),Imperial,Roman,70-80,Vaulted construction
A08-077-0269.jpg,,,,4th Century Rome (Model),Imperial,Roman,c. 300-350,
A08-077-0274.jpg,,,,Column of Trajan,Imperial,Roman,c. 113-116 or after 117,Romans crossing the Danube and building a fort
A08-077-0277.jpg,,,,Pantheon,Imperial,Roman,c. 118-125,Dome with light from the oculus
A08-077-0278.jpg,,,,Pantheon,Imperial,Roman,c. 118-125,Circle section
A08-077-0280.jpg,,,,Hadrian’s Wall,Imperial,Roman,122-128,
A08-077-0285.jpg,,,,"Septimius Severus, Julia Domna, and Their Children Geta and Caracalla",Imperial,Roman,c. 200,
A08-077-0289.jpg,,,,Church of Santa Maria degli Angeli (Baths of Diocletian),Imperial,Roman,c. 298-306,
A08-077-0290.jpg,,,,"Togate Bust of Philip the Arab, from Porcigliano",Imperial,Roman,244-249,
A08-077-0291.jpg,,,,Family of Vunnerius Keramus (Family Group),Imperial,Roman,c. 250,
A08-077-0292.jpg,,,,Ludovisi Battle Sarcophagus,Imperial,Roman,c. 250 BCE,
A08-077-0293.jpg,,,,Tetrarchs,Imperial,Roman,c. 300,
A08-077-0296.jpg,,,,Fragments of a Colossal Statue of Constantine ,Late Antique ,Roman,c. 315-330,Head
A08-077-0302.jpg,,,,Symmachi Diptych Leaf,Late Antique,Roman,c. 390-401,
A08-077-0303.jpg,,,,"Elements of Architecture: Arch, Vault, and Dome",,,,
A08-077-0304.jpg,,,,Augustus of Primaporta,Imperial,Roman,c. 14-37,Copy with color restored
A08-077-0305.jpg,,,,Elements of Architecture: Roman Architectural Orders,,Roman,,Composite order and Tuscan order
A08-077-0307.jpg,,,,The Roman Republic and Roman Empire,,Roman,,
A08-077-0311.jpg,,,,House Synagogue at Dura-Europus,Late Antique,Syrian,244-45,Finding of Moses
A08-077-0312.jpg,,,,Synagogue Floor,,Jewish,c. 530,
A08-077-0315.jpg,,,,Sarcophagus from Santa Maria Antiqua,Early Christian,Roman,c. 270,
A08-077-0318.jpg,,,,Old Saint Peter's Basilica,Early Christian,Roman,c. 320-27,Painting of the interior from Santa Maria ai Monte
A08-077-0321.jpg,,,,Carved Doors of Santa Sabina,Early Christian ,Roman ,c. 432,Ascension of Elijah
A08-077-0322.jpg,,,,Mosaics from Santa Maria Maggiore,Early Christian ,Roman,c. 432-440 ,Parting of Lot and Abraham
A08-077-0324.jpg,,,,Santa Costanza,Early Christian,Roman,c. 350,Ambulatory with harvest mosaic
A08-077-0329.jpg,,,,Orthodox Baptistery,Early Christian,Roman,c. 450,Clerestory and dome
A08-077-0331.jpg,,,,Sarcophagus of Junius Bassus,Early Christian,Roman,c. 359,
A08-077-0332.jpg,,,,City Walls of Constantinople,Early Byzantine,Byzantine,Begun 412-13,
A08-077-0334.jpg,Anthemius of Tralles,Isidore of Miletus (Isidorus of Miletus),,Hagia Sophia,Early Byzantine,Byzantine,532-537,Plan and section
A08-077-0335.jpg,Anthemius of Tralles,Isidore of Miletus (Isidorus of Miletus),,Hagia Sophia,Early Byzantine,Byzantine,532-537,
A08-077-0337.jpg,,,,San Vitale,Early Byzantine,Byzantine,c. 520-548,
A08-077-0338.jpg,,,,San Vitale,Early Byzantine,Byzantine,c. 520-548,
A08-077-0342.jpg,,,,Archangel Michael,Early Byzantine,Byzantine,c. 525-550,
A08-077-0344.jpg,Rabbula,,(attributed to),Rabbula Gospels,Early Byzantine,Byzantine,c. 586,Crucifixion and Resurrection
A08-077-0345.jpg,Rabbula,,(attributed to),Rabbula Gospels,Early Byzantine,Byzantine,c. 586,Ascension
A08-077-0346.jpg,,,,Virgin and Child with Saints and Angels,Early Byzantine,Byzantine,c. 550-600,
A08-077-0351.jpg,,,,Panel with the Archangel Michael,Middle Byzantine,Byzantine,c. 950-1050,
A08-077-0352.jpg,,,,Basilica of San Marco,Romanesque,Italian,c. 1060,View toward apse
A08-077-0355.jpg,,,,"Cappella Palatina, Palermo (Palatine Chapel)",Late Byzantine,Byzantine,c.1140,
A08-077-0356.jpg,,,,"Chamber of King Roger, Norman Palace",Late Byzantine,Byzantine,Mid 12th century,
A08-077-0357.jpg,,,,Church of the Monastery of Christ in Chora,Late Byzantine,Byzantine,c. 1310-1321,Funerary Chapel
A08-077-0358.jpg,,,,Church of the Monastery of Christ in Chora,Late Byzantine,Byzantine,c. 1310-1321,Anastasis
A08-077-0360.jpg,,,,Elements of Architecture: Basilica-Plan and Central-Plan Churches,,,,
A08-077-0361.jpg,,,,Mausoleum of Galla Placidia,Early Christian,Roman,c. 425-426,Bookcase with gospel codices
A08-077-0362.jpg,,,,Myth and Religion: Christian Symbols,,,,
A08-077-0364.jpg,,,,Multiple-Dome Church Plans,,,,
A08-077-0365.jpg,,,,Elements of Architecture: Pendentives and Squinches,,,,
A08-077-0366.jpg,,,,"Jewish, Early Christian, and Byzantine Worlds",,,,
A08-077-0367.jpg,,,,Ka‘ba in the Masjid al-Haram in Mecca,,Islamic,,
A08-077-0368.jpg,,,,Haram Al-Sharif,Umayyad,Islamic,7th c and later,
A08-077-0369.jpg,,,,Dome of the Rock,Umayyad,Islamic,begun c. 691,Cutaway drawing
A08-077-0370.jpg,,,,Dome of the Rock,Umayyad,Islamic,begun c. 691,
A08-077-0371.jpg,,,,Qasr al-Mushatta,Umayyad,Islamic,c. 744,
A08-077-0372.jpg,,,,Qasr al-Mushatta,Umayyad,Islamic,c. 744,Frieze on the facade
A08-077-0373.jpg,,,,Great Mosque of Kairouan,Abbasid,Islamic,after 862,Aerial view
A08-077-0374.jpg,,,,Great Mosque at Cordoba,Umayyad,Islamic,completed 965,Prayer Hall
A08-077-0375.jpg,,,,Great Mosque at Cordoba,Umayyad,Islamic,completed 965,Dome in front of the Mihrab
A08-077-0376.jpg,,,,Folio from a Qur’an ,Tulunid,Islamic,,
A08-077-0377.jpg,,,,Manuscript Page in Naskhi Script,Seljuk,Islamic,1199,
A08-077-0378.jpg,,,,Bowl with Kufic Script Border,Seljuk,Islamic,,
A08-077-0379.jpg,,,,Textile with Elephants and Camels (Shroud of Saint Josse),Samanid,Islamic,Before 961,
A08-077-0380.jpg,,,,Masjid-I Jam'e (Congregational Mosque),Seljuk,Islamic,c. 1300-1800,Courtyard
A08-077-0381.jpg,,,,"Mihrab, from the Madrasa Imami, Isfahan",Timurid,Islamic,1354 or later,
A08-077-0382.jpg,,,,"Mosque, Madrasa of Sultan Hasan",Mamluk,Islamic,1363,Qibla wall with mihrab and minbar
A08-077-0383.jpg,,,,Alhambra,Moorish,Islamic,,Court of the Lions
A08-077-0384.jpg,,,,Alhambra,Moorish,Islamic,,"Muqarnas Dome, Hall of the Abencerrajes, Palace of the Lions"
A08-077-0385.jpg,,,,Pisa Griffin,Fatimid,Islamic,c. 1000-1100,
A08-077-0386.jpg,Shazi,,,Pen Box,Abbasid,Islamic,1210-1211,
A08-077-0387.jpg,,,,The Macy Jug,Seljuk,Islamic,1215-1216,
A08-077-0388.jpg,,,,Banner of Las Navas de Tolosa,Moorish,Islamic,c. 1212-1250,
A08-077-0389.jpg,,,,"Medallion Carpet, Variant Star Ushak Style",Ushak,Islamic,c. 1500-1600,
A08-077-0390.jpg,,,,Qur’an of Sha’ban,Mamluk,Islamic,c. 1368,Frontispiece
A08-077-0391.jpg,Bihzad (Kamal al-Din Bihzad),,,Harun Al-Rashid Visits the Turkish Bath,Timurid,Islamic,c. 1494,
A08-077-0392.jpg,,,,The Portrait of Khusrau Shown to Shirin,Ottoman,Islamic,c. 1494,
A08-077-0393.jpg,Sinan,,,Selimiye Mosque in Edirne,Ottoman,Islamic,1574,
A08-077-0394.jpg,Sinan,,,Selimiye Mosque in Edirne,Ottoman,Islamic,1574,
A08-077-0395.jpg,,,,Tugra of Selim II,Ottoman,Islamic,c. 1555-1560,
A08-077-0396.jpg,"Fathy, Hassan",,,Design for a Mosque at New Gourna,,Egyptian,1945-1947,
A08-077-0397.jpg,,,,Elements of Architecture: Arches and Muqarnas,,Islamic,,"horseshoe arch, pointed arch, muqarnas"
A08-077-0398.jpg,,,,Carpet Making Technique,,Islamic,,Women weaving
A08-077-0399.jpg,,,,Mosque Plan Types,,Islamic,,"Centrally-planned mosque: Sultan Selim Mosque, Edirne"
A08-077-0400.jpg,,,,Mosque Plan Types,,Islamic,,"Four-iwan mosque: Congregrational Mosque, Isfahan "
A08-077-0401.jpg,,,,Mosque Plan Types,,Islamic,,"Hypostyle mosque: Great Mosque, Cordoba, after extension by al-Hakam II"
A08-077-0402.jpg,,,,Mosque Lamp,Mamluk,Islamic,c. 1355,
A08-077-0403.jpg,,,,Carpet Making Technique,,Islamic,,Weaving patterns
A08-077-0404.jpg,,,,The Islamic World,,Islamic,,
A08-077-0405.jpg,,,,Book of Kells,,Hiberno-Saxon,c. 800,Chi Rho Iota page
A08-077-0406.jpg,,,,Eagle Brooch,,Visigothic,c. 500-600,
A08-077-0407.jpg,,,,Cross,,Lombard,c. 650-850,
